Winner,Matches diff,Winrates diff,Counter picks winrate diff,Synergies winrates diff,Networthes diff,Signatures diff,R1 rank,R2 rank,R3 rank,R4 rank,R5 rank,D1 rank,D2 rank,D3 rank,D4 rank,D5 rank
1,12700,-0.0222,0.01907,-0.02249,67,0,19,5,96,37,125,353,148,214,251,66
1,-17295,0.0276,0.03911,0.03119,391,-1,23,5,55,387,384,141,156,15,15,100
1,-4262,0.0256,0.00643,0.00997,5221,0,174,67,653,35,18,353,138,31,35,8
1,-43479,0.0248,-0.04583,0.01542,1422,-1,12,140,122,85,11,62,67,3,213,42
1,43479,-0.0248,-0.00431,-0.04588,3825,-1,62,67,3,213,42,12,140,122,85,11
1,-17295,0.0276,0.02291,0.01078,-3213,0,23,5,55,387,384,141,156,15,15,100
0,4262,-0.0256,0.0381,-0.01766,-1053,1,353,138,35,31,8,174,67,653,35,18
1,19487,-0.015,-0.02376,0.0,2710,0,50,69,33,196,133,124,10,167,273,196
0,12700,-0.0222,-0.0207,-0.00324,-1911,-1,19,5,96,37,125,353,148,214,251,66
1,38046,-0.0228,0.0093,0.00364,897,0,19,29,1,6,153,468,37,13,42,164
0,19487,-0.015,-0.07972,0.00364,3560,1,50,33,69,196,133,124,196,10,273,167
0,-12700,0.0222,0.05628,0.0,-830,-1,353,148,214,251,66,19,5,96,37,125
0,-38046,0.0228,0.00938,-0.01665,-3410,1,468,37,13,42,164,19,29,1,6,153
0,23938,-0.0216,-0.01115,-0.03119,-666,0,141,15,156,15,100,12,140,122,85,11
1,23026,-0.01,-0.03995,0.01108,3406,0,62,67,3,213,42,353,138,35,8,31
1,-9548,-0.0048,-0.02175,-0.01734,-3060,0,23,5,55,387,384,174,67,653,35,18
1,23938,-0.0216,-0.01427,-0.02462,-2659,1,141,15,156,15,100,12,140,122,85,11
1,-9548,-0.0048,-0.00322,-0.02201,2905,0,387,23,5,384,55,174,67,653,35,18
0,-3485,0.0068,-0.0116,-0.00127,1662,0,353,138,8,35,31,141,156,15,15,100
0,6643,0.006,0.04836,-0.00625,-4143,-1,23,5,55,387,384,12,140,122,85,11
0,-27288,0.0356,-0.0279,-0.00667,-2574,-1,174,67,653,35,18,62,213,67,3,42
0,3485,-0.0068,-0.00906,0.00398,3550,0,141,156,15,15,100,353,138,31,35,8
1,6643,0.006,0.04901,-0.00721,1092,-1,23,5,55,387,384,12,140,122,85,11
1,-16675,0.001,-0.01073,0.0,888,0,468,37,13,42,164,124,10,167,273,196
1,-16630,-0.0088,0.05118,0.03083,-3239,0,19,5,96,37,125,50,69,33,196,133
0,16630,0.0088,0.00406,-0.00787,-3531,-1,50,69,33,196,133,19,5,37,96,125
1,-16675,0.001,0.04446,0.02404,1294,1,468,37,13,42,164,124,10,167,273,196
1,31214,-0.0202,-0.04161,-0.02922,3030,1,19,29,1,6,153,353,148,214,251,66
1,19532,-0.0248,-0.02816,0.01704,2706,2,19,5,96,37,125,468,37,13,42,164
0,21371,-0.0218,0.0166,0.01407,517,1,19,29,1,6,153,124,10,167,273,196
0,29330,-0.0134,0.02716,0.06913,3134,-1,50,69,33,196,133,353,148,214,251,66
1,-29330,0.0134,0.05827,0.02079,-785,-2,353,148,214,251,66,50,69,33,196,133
0,-19532,0.0248,0.06193,-0.01,-2455,-1,468,37,13,42,164,19,5,96,37,125
1,21371,-0.0218,-0.00658,-0.01125,-1077,2,19,29,1,6,153,124,10,167,273,196
0,-13810,0.0208,-0.01497,0.01375,273,-1,23,5,55,387,384,353,138,31,35,8
0,-16191,-0.0108,-0.03225,-0.02121,-266,0,12,140,122,85,11,174,67,653,35,18
1,19541,-0.0032,0.00686,-0.00161,-1929,0,62,67,3,213,42,141,156,15,15,100
1,13810,-0.0208,0.02038,0.01794,1109,-1,353,138,8,31,35,23,5,55,387,384
0,16191,0.0108,-0.00985,-0.03623,-338,0,174,67,653,35,18,12,140,122,85,11
0,19541,-0.0032,-0.01743,0.0,-275,3,62,67,3,213,42,141,156,15,15,100
0,20453,-0.0148,0.0329,-0.01829,947,-2,353,138,35,31,8,12,140,122,85,11
1,7747,-0.0324,0.01685,-0.02006,385,2,141,156,15,15,100,174,67,18,35,653
0,-20453,0.0148,0.01641,0.0,-441,0,12,140,122,85,11,353,138,31,35,8
0,-7747,0.0324,-0.0185,-0.00471,4310,0,174,67,653,35,18,141,156,15,15,100
1,36836,-0.0308,0.0516,-0.00079,454,1,62,67,3,213,42,23,5,55,387,384
0,2857,-0.0238,-0.02934,-0.00078,-35,0,19,5,96,37,125,124,10,167,273,196
1,6832,-0.0026,-0.01834,0.00484,4233,1,353,148,214,251,66,468,37,13,42,164
0,4983,-0.004,0.01027,-0.02532,-1560,1,19,29,178,6,153,50,69,33,196,133
1,-6832,0.0026,-0.0169,0.03857,-890,0,468,37,13,42,164,353,148,214,251,66
0,-4983,0.004,-0.03404,0.02178,-519,0,50,33,69,196,133,19,29,178,6,153
0,2857,-0.0238,-0.02758,-0.01579,932,0,19,5,96,37,125,124,10,167,273,196
1,9843,0.0016,0.01166,0.03333,2376,0,124,10,167,273,196,353,148,214,251,66
0,36162,-0.016,-0.00698,-0.00679,-3175,0,50,133,33,196,69,468,37,13,42,164
0,21613,0.0048,0.00065,0.01878,2378,1,19,29,178,6,153,19,5,96,37,125
0,-21613,-0.0048,-0.01778,-0.03153,-1632,2,19,5,96,37,125,19,29,178,6,153
0,-36162,0.016,0.02829,-0.02017,-2748,0,468,37,13,42,164,50,69,33,196,133
1,-9843,-0.0016,0.00922,0.00318,2094,1,353,148,214,251,66,124,10,167,273,196
0,28628,-0.0192,-0.01112,-0.0007,1775,1,19,29,1,6,153,23,5,55,387,384
1,-28628,0.0192,0.00756,0.01629,1096,-1,23,5,55,384,387,19,29,1,6,153
0,28628,-0.0192,0.00488,-0.01807,1172,1,19,29,1,6,153,23,5,55,387,384
0,-28628,0.0192,0.0489,0.0,-1610,-1,23,5,55,387,384,19,29,1,6,153
0,5566,-0.005,0.01241,-0.00789,2180,0,20,14,44,18,82,23,5,55,387,384
1,-5566,0.005,0.03074,-0.01432,-861,0,23,5,55,387,384,20,14,44,18,82
0,-2586,0.001,-0.03643,-0.0051,1712,0,353,148,214,251,66,23,5,55,387,384
1,-2586,0.001,0.02529,0.02584,2521,0,353,148,214,251,66,23,5,55,387,384
1,2586,-0.001,0.04768,-0.00765,752,0,23,5,55,387,384,353,148,214,251,66
0,-23062,0.0142,0.01132,0.0003,-1297,0,20,14,44,18,82,19,29,1,6,153
1,23062,-0.0142,-0.07773,-0.00795,5367,1,19,29,1,6,153,20,14,44,18,82
1,-12134,-0.0038,0.01701,-0.01944,582,-1,353,148,214,251,66,174,67,653,35,18
0,12134,0.0038,0.05374,0.01648,-2744,-1,174,67,653,35,18,353,148,214,251,66
0,11192,-0.022,-0.01887,0.02082,-1963,2,38,190,4,244,94,23,5,55,387,384
1,-11192,0.022,0.03256,-0.01838,-1327,0,23,5,55,387,384,38,190,4,244,94
0,-8152,0.006,0.03189,0.05262,-884,-1,353,148,214,251,66,20,14,44,18,82
1,-8152,0.006,-0.04252,0.00927,433,1,353,148,214,251,66,20,14,44,18,82
0,-8152,0.006,-0.0277,0.0082,-1210,0,353,148,214,251,66,20,14,44,18,82
0,-28628,0.0192,0.05532,-0.00247,3799,-2,23,5,55,387,384,19,29,1,6,153
1,28628,-0.0192,-0.01676,0.00097,2434,-1,19,29,1,6,153,23,5,55,387,384
0,6103,-0.0056,-0.01874,-0.02883,-48,2,141,156,15,15,100,4,190,38,244,94
1,-6103,0.0056,-0.04613,-0.02422,-1581,1,38,190,4,244,94,141,156,15,15,100
0,-2291,-0.0022,-0.01309,-0.01496,-336,0,124,10,167,273,196,174,67,653,35,18
1,2291,0.0022,-0.02362,-0.01398,-1227,1,174,67,653,35,18,124,10,167,273,196
1,-1691,-0.0076,0.01139,0.00031,3311,0,20,14,44,18,82,124,10,167,273,196
0,3935,-0.0246,-0.02778,-0.01225,-595,1,38,190,4,244,94,124,10,167,273,196
0,5626,-0.017,-0.04017,-0.02084,554,1,38,190,4,244,94,20,14,44,18,82
0,31270,-0.0258,0.00552,0.0116,-930,1,62,67,3,213,42,20,14,44,18,82
0,-6145,0.0048,-0.01385,-0.01381,-420,1,9,4,390,589,2,19,5,96,37,125
0,-31270,0.0258,-0.00295,-0.01785,530,0,20,14,44,18,82,3,67,62,213,42
1,6145,-0.0048,0.02491,-0.00424,3757,-1,19,5,96,37,125,4,390,9,589,2
0,1589,-0.0052,0.01098,0.02923,-1968,-1,41,20,177,17,24,174,67,653,35,18
0,5945,-0.0262,-0.01934,-0.00279,1163,0,1,11,25,413,368,124,10,167,273,196
1,-1589,0.0052,0.0316,0.04356,2773,0,174,67,653,35,18,41,20,177,17,24
0,5945,-0.0262,-0.00713,0.00484,-2477,1,1,11,25,413,368,124,10,167,273,196
1,-7433,0.0088,-0.05035,-0.01022,769,-1,23,5,55,387,384,75,5,193,12,69
0,-23026,0.01,0.05187,-0.0182,980,-3,353,138,31,35,8,62,67,213,3,42
0,23026,-0.01,-0.05548,0.01032,-2238,0,62,67,3,213,42,353,138,35,31,8
0,7433,-0.0088,-0.00512,0.00714,-621,0,75,5,193,12,69,23,5,55,387,384
0,12209,0.001,0.02613,0.0,429,0,20,14,44,18,82,12,140,122,85,11
1,-13723,0.0014,-0.03682,0.01712,3780,0,353,148,214,251,66,41,20,177,17,24
0,13723,-0.0014,-0.0243,-0.00385,-3348,-1,41,20,177,17,24,353,148,214,251,66
1,-12209,-0.001,0.00612,-0.00368,834,0,12,140,122,85,11,20,14,44,18,82
1,3935,-0.0246,0.03898,-0.03762,2245,0,38,190,4,244,94,124,10,167,273,196
0,7747,-0.0324,0.02358,0.02474,-3081,-1,141,156,15,15,100,174,67,653,35,18
0,-3935,0.0246,-0.04101,0.00799,-33,0,124,10,167,273,196,38,190,4,244,94
0,-7747,0.0324,0.0021,0.0,4493,-2,174,67,653,35,18,141,156,15,15,100
0,-15426,-0.0044,0.02423,0.0137,-1668,-1,1,11,25,413,368,19,29,1,6,153
0,11137,-0.0004,-0.0232,0.00468,236,0,41,20,177,17,24,23,5,55,387,384
1,15426,0.0044,-0.02228,0.03378,-352,-1,19,29,1,6,153,1,11,25,413,368
1,-11137,0.0004,-0.03129,-0.00814,1864,-1,23,5,55,387,384,41,20,177,17,24
1,17835,-0.016,-0.04874,0.01354,2688,2,244,190,38,4,94,12,140,122,85,11
1,-6555,0.0174,-0.03537,0.03242,3050,-2,353,148,214,251,66,4,9,390,589,2
0,-17835,0.016,0.01649,0.0064,-3306,0,12,140,122,85,11,94,190,4,244,38
1,6555,-0.0174,-0.04132,0.0,-1548,0,589,4,9,390,2,353,148,214,251,66
0,7636,-0.0186,-0.01267,0.02618,-3478,0,1,11,25,413,368,20,14,44,18,82
1,2681,-0.0124,0.01038,0.00654,3662,-1,19,5,96,37,125,75,5,193,12,69
1,-7636,0.0186,0.03268,0.01712,-220,-1,20,14,44,18,82,1,11,25,413,368
1,-2681,0.0124,0.00014,0.00294,3251,2,75,5,193,12,69,19,5,96,37,125
0,-8208,0.0116,-0.00542,0.00156,-817,1,19,29,1,6,153,62,67,3,213,42
0,2586,-0.001,0.00457,0.00769,-605,-1,23,5,55,387,384,353,148,214,251,66
1,8208,-0.0116,-0.03951,-0.02796,-328,-2,62,67,213,3,42,19,29,1,6,153
1,2586,-0.001,0.00196,0.0043,125,1,23,5,55,387,384,353,148,214,251,66
0,608,0.0028,0.03046,0.00771,125,-1,353,138,35,31,8,1,11,25,413,368
0,5579,0.0212,-0.03871,-0.00687,-1335,-1,174,67,653,35,18,9,390,4,589,2
1,-608,-0.0028,0.01865,0.00333,1466,0,1,11,25,413,368,353,138,31,8,35
1,5579,0.0212,0.01553,0.01652,3326,-1,174,67,653,35,18,589,4,9,390,2
0,-21371,0.0218,-0.02177,-0.02234,-953,0,124,10,167,273,196,19,29,1,6,153
0,19881,-0.0286,0.02365,-0.02195,2281,1,141,156,15,15,100,353,148,214,251,66
1,21371,-0.0218,0.02165,0.00352,1520,0,19,29,1,6,153,124,10,167,273,196
0,-19881,0.0286,-0.01919,-0.01772,2696,1,353,148,214,251,66,141,156,15,15,100
0,1023,0.0208,0.03759,-0.00768,-1268,-2,41,20,177,17,24,19,5,96,37,125
1,-43479,0.0248,0.05512,0.0,529,0,12,140,122,85,11,62,67,3,213,42
1,-43479,0.0248,0.02678,-0.02032,-332,1,12,140,122,85,11,62,213,3,67,42
1,-1023,-0.0208,-0.03611,-0.00948,-700,0,19,5,96,37,125,41,20,177,17,24
0,-9862,0.0188,0.01736,0.0,1735,-1,75,5,193,12,69,141,156,15,15,100
0,8244,-0.0158,0.05928,0.01938,-2927,0,353,138,35,31,8,20,14,44,18,82
1,-8244,0.0158,-0.03852,-0.00038,-988,-1,20,14,44,18,82,353,138,31,35,8
1,-9862,0.0188,-0.03639,0.0,-841,-3,75,5,193,12,69,141,156,15,15,100
0,-25644,0.0088,0.01012,-0.00432,-295,0,38,190,4,244,94,62,67,213,3,42
0,9548,0.0048,0.0191,-0.02602,2704,1,174,67,653,35,18,23,5,55,387,384
1,25644,-0.0088,-0.00369,-0.01075,-425,1,62,67,213,3,42,38,190,4,244,94
1,9548,0.0048,-0.0055,0.02376,2096,0,174,67,653,35,18,23,5,55,387,384
1,23062,-0.0142,-0.0109,0.00382,1042,2,19,29,1,6,153,20,14,44,18,82
1,7181,-0.0064,0.02244,-0.00312,672,1,141,156,15,15,100,19,5,96,37,125
0,-23062,0.0142,0.00482,0.00708,-1826,-1,20,14,44,18,82,19,29,1,6,153
1,-7181,0.0064,0.011,0.0,-1288,0,19,5,96,37,125,141,156,15,15,100
1,13900,0.0086,0.00446,0.00161,-2376,0,124,10,167,273,196,12,140,122,11,85
0,12134,0.0038,-0.00406,0.01187,5516,0,174,67,653,35,18,353,148,214,251,66
0,-13900,-0.0086,-0.0215,-0.01534,-1300,2,12,140,122,85,11,124,10,167,273,196
1,-12134,-0.0038,-0.02718,0.0,1012,0,353,148,214,251,66,174,67,653,35,18
1,17295,-0.0276,-0.03015,0.01496,100,-2,141,156,15,15,100,23,5,55,384,387
0,2010,-0.0016,0.05738,-0.02889,-1085,0,1,11,25,413,368,38,190,4,244,94
1,-2010,0.0016,-0.02319,-0.00878,2063,-1,38,190,4,244,94,1,11,25,413,368
1,-17295,0.0276,0.02034,0.0049,831,-1,23,5,55,387,384,141,156,15,15,100
0,14818,0.0016,0.01445,-0.00825,-25,-1,19,29,1,6,153,353,138,31,35,8
0,-7168,-0.016,-0.02371,-0.02317,-751,3,9,4,390,589,2,41,20,177,17,24
0,-14818,-0.0016,0.02532,0.00309,-265,1,353,138,35,8,31,19,29,1,6,153
0,7168,0.016,0.00567,0.0666,1998,0,41,20,177,17,24,9,4,390,589,2
0,-19845,0.0176,-0.01321,0.0,2177,-1,12,140,122,85,11,1,11,25,413,368
0,-10114,0.0212,-0.01509,-0.02237,-280,-1,23,5,55,387,384,19,5,96,37,125
1,19845,-0.0176,-0.00572,0.0,-602,1,1,11,25,413,368,12,140,122,85,11
0,10114,-0.0212,-0.0189,-0.002,5145,0,19,5,96,37,125,23,5,55,387,384
1,-1691,-0.0076,0.0385,0.02632,3089,-1,20,14,44,18,82,124,10,167,273,196
0,-10019,0.0098,-0.06059,0.01503,2960,-1,353,148,214,251,66,75,5,193,12,69
0,-1691,-0.0076,0.01947,0.01207,-2177,2,20,14,44,18,82,124,10,167,273,196
1,-10019,0.0098,0.02942,0.00172,-65,-1,353,148,214,251,66,75,5,193,12,69
0,-3969,0.0164,0.01054,0.00272,-3315,-1,23,5,55,387,384,9,4,390,589,2
0,2618,0.0012,0.02657,0.03039,-4287,0,353,138,31,8,35,38,190,4,244,94
1,-3969,0.0164,0.04677,0.04982,-3297,-2,23,5,55,384,387,9,4,589,390,2
1,-35271,0.0132,0.00213,0.00467,2289,0,12,140,122,85,11,19,29,1,6,153
1,-6518,-0.0164,0.01757,-0.01179,-3338,0,75,9,193,12,69,174,67,653,35,18
1,-5626,0.017,0.0448,-0.00766,2528,1,20,14,44,18,82,4,190,38,244,94
0,-6158,0.0272,-0.0094,0.04553,-2687,-1,41,20,177,17,24,141,156,15,15,100
0,5626,-0.017,-0.06343,-0.02747,16,3,38,190,4,244,94,20,14,44,18,82
0,6158,-0.0272,0.053,-0.02111,2765,0,141,156,15,15,100,41,20,177,17,24
0,6553,-0.0234,-0.01115,-0.00645,-3554,0,353,138,35,31,8,124,10,167,273,196
1,-566,0.026,-0.0239,-0.01331,-940,1,174,67,653,35,18,19,5,96,37,125
0,6553,-0.0234,-0.00417,-0.03319,-3928,2,353,138,35,31,8,124,10,167,273,196
0,566,-0.026,0.02372,0.00467,-1471,0,19,5,96,37,125,174,67,653,35,18
0,-17436,-0.0028,-0.0755,-0.00961,532,1,38,190,4,244,94,19,29,1,6,153
1,939,-0.0048,-0.01906,-0.01754,-551,0,9,4,390,589,2,75,9,193,12,69
1,17436,0.0028,-0.02599,-0.00408,-1781,-1,19,29,1,6,153,38,190,4,244,94
0,939,-0.0048,0.0225,-0.02178,1326,2,9,390,4,589,2,75,9,193,12,69
1,29579,-0.0334,-0.01304,-0.00451,1966,2,62,67,3,213,42,124,10,167,273,196
1,-12700,0.0222,-0.02067,0.00384,705,0,353,148,214,251,66,19,5,96,37,125
0,29579,-0.0334,-0.01202,0.02013,1094,0,62,67,213,3,42,124,10,167,273,196
0,12700,-0.0222,0.01107,0.0289,-1244,1,19,5,96,37,125,353,148,214,251,66
0,-20453,0.0148,-3e-05,-0.04126,-4299,2,12,140,122,85,11,353,138,35,8,31
0,8107,0.0112,-0.01006,0.0,-1860,0,41,20,177,17,24,75,9,193,12,69
1,20453,-0.0148,-0.01784,0.03467,2950,0,353,138,35,8,31,12,140,122,85,11
1,-8107,-0.0112,0.02294,-0.002,2426,-1,75,9,193,12,69,41,20,177,17,24
1,-23634,0.0072,-0.00774,-0.00305,2774,2,1,11,25,413,368,62,67,213,3,42
1,13326,-0.0112,0.02321,-0.02904,208,0,141,156,15,15,100,9,4,390,589,2
0,23634,-0.0072,0.00314,-0.02596,-673,-2,62,67,213,3,42,1,11,25,413,368
0,-13326,0.0112,-0.02024,-0.00456,-668,1,9,4,390,589,2,141,156,15,15,100
1,9970,-0.0216,0.08845,0.01034,1970,0,353,138,35,31,8,468,37,13,42,59
0,-9970,0.0216,-0.04408,-0.00365,-3920,1,468,37,13,42,59,353,138,35,31,8
1,-9970,0.0216,-0.01729,-0.01,378,0,468,37,13,42,59,353,138,8,31,35
1,-6245,0.0034,0.01599,-0.00171,1171,0,75,9,193,12,69,360,28,58,242,169
0,6245,-0.0034,0.03349,-0.01364,-999,1,360,28,58,242,169,75,9,193,12,69
0,-6245,0.0034,0.04307,0.00798,-149,-1,9,75,193,12,69,360,28,58,242,169
0,438,-0.013,-0.008,-0.00301,1981,-1,14,100,170,41,55,41,20,177,17,24
0,438,-0.013,0.00566,0.0,1241,0,14,100,170,41,55,41,20,177,17,24
0,7344,0.0034,-0.04259,-0.00448,-2189,0,58,178,11,5001,367,360,28,58,242,169
1,7352,-0.0228,-0.02488,0.02729,773,-2,38,190,4,244,94,468,37,13,42,59
1,-7344,-0.0034,-0.00347,0.02221,1503,1,360,28,58,242,169,58,178,11,5001,367
1,-7352,0.0228,0.00658,-0.02618,3742,1,468,37,13,42,59,38,190,4,244,94
0,-23026,0.01,0.01254,-0.01075,-960,-1,353,138,8,31,35,62,67,3,213,42
1,7352,-0.0228,-0.07737,0.00421,6141,0,38,190,4,244,94,468,37,13,42,59
0,23026,-0.01,-0.03862,0.01161,1698,2,62,67,3,213,42,35,138,353,31,8
1,-18559,0.0056,-0.08398,0.0,-489,0,14,100,170,41,55,214,54,321,21,119
1,23026,-0.01,-0.01825,0.02193,11,3,62,67,3,213,42,353,138,35,31,8
0,-6158,0.0272,-0.03592,-0.00907,802,0,41,20,177,17,24,141,156,15,15,100
1,-18559,0.0056,-0.01026,-0.01202,-3035,-2,14,100,170,41,55,214,54,321,21,119
0,-6158,0.0272,-0.01791,-0.00686,-3173,1,41,20,177,17,24,141,156,15,15,100
1,19758,-0.0328,0.03783,0.02396,-2710,1,75,5,193,12,69,59,850,501,527,326
0,6158,-0.0272,-0.02657,-0.00414,-2250,0,141,156,15,15,100,41,20,177,17,24
0,-19758,0.0328,-0.04051,-0.0278,-1289,-1,59,850,326,527,501,75,5,193,12,69
0,18942,0.003,-0.02361,0.00256,-3022,-2,214,54,321,21,119,38,190,4,244,94
0,-18942,-0.003,0.00961,0.00971,-4017,2,4,190,38,244,94,214,54,321,21,119
1,129,-0.0172,0.00927,-0.00536,4270,2,9,4,390,589,2,468,13,42,37,59
0,18942,0.003,-0.03961,-0.02454,-3430,0,214,54,321,21,119,38,190,4,244,94
0,-129,0.0172,-0.0202,0.02896,-2463,-3,468,37,13,42,59,9,4,390,589,2
0,-6377,0.012,-0.00359,-0.01456,-2506,0,75,5,193,12,69,353,138,31,35,8
0,129,-0.0172,-0.03337,-0.03824,523,2,589,4,9,390,2,468,37,13,42,59
1,6377,-0.012,-0.02258,-0.00312,545,-1,353,138,35,31,8,75,5,193,12,69
1,-23634,0.0072,0.06505,-0.01218,900,2,1,11,25,413,368,3,67,213,62,42
1,-9289,0.0118,0.01497,0.00031,14,0,14,100,170,41,55,92,177,340,77,186
0,23634,-0.0072,0.00976,0.0,-3716,-2,62,3,213,67,42,1,11,25,413,368
0,-1862,-0.0146,-0.01691,0.00383,2302,0,360,28,58,242,169,41,20,177,17,24
1,-9289,0.0118,-0.00395,0.0,812,1,14,100,170,41,55,92,177,340,77,186
1,-25658,0.0608,0.03525,0.00345,1904,-1,59,850,326,527,501,530,315,166,165,81
1,1862,0.0146,0.05178,0.00041,1004,0,41,20,177,17,24,360,28,58,242,169
0,-25658,0.0608,0.00982,0.0,-1071,-2,59,850,326,527,501,530,315,81,165,166
0,-676,0.016,0.01181,0.01237,1418,0,58,178,11,5001,367,141,156,15,15,100
1,676,-0.016,0.0409,0.0,1083,1,141,156,15,15,100,58,178,11,5001,367
1,-25658,0.0608,0.00198,0.01944,-2863,-2,59,850,501,527,326,530,315,166,165,81
0,608,0.0028,0.01911,0.0025,-3883,0,353,138,35,31,8,1,11,25,413,368
0,-6702,0.0118,0.04007,0.0,123,-2,214,54,321,21,119,62,67,213,3,42
1,-608,-0.0028,-0.04183,0.01,5561,0,1,11,25,413,368,353,138,31,35,8
1,6702,-0.0118,-0.0142,-0.00796,-1204,0,62,67,213,3,42,214,54,321,21,119
1,23517,-0.046,-0.01841,-0.00399,2327,0,244,4,38,190,94,59,850,326,527,501
0,9727,-0.0248,0.00021,-0.02022,723,-1,92,177,340,77,186,41,20,177,17,24
0,-23517,0.046,0.02409,0.01416,2925,-1,59,850,527,326,501,38,190,4,244,94
1,-9727,0.0248,-0.01193,-0.01217,-1371,-1,41,20,177,17,24,92,177,340,77,186
0,5306,0.0014,0.03449,-0.00655,-39,0,360,28,58,242,169,2,4,390,589,9
0,12779,-0.0124,-0.00021,-0.0119,-1232,-1,58,178,11,5001,367,468,37,13,42,59
1,-12779,0.0124,0.04944,0.04228,2092,0,468,37,13,42,59,58,178,11,5001,367
0,5306,0.0014,0.07078,0.03936,547,-2,360,28,58,242,169,4,390,2,589,9
1,12779,-0.0124,-0.03484,-0.01813,1593,-1,58,178,11,5001,367,59,42,13,37,468
1,-4142,0.0046,0.02608,-0.05536,-2512,1,75,5,193,12,69,14,100,170,41,55
1,3962,0.0092,-0.0008,-0.01399,4493,-1,141,156,15,15,100,530,315,166,165,81
0,4142,-0.0046,-0.055,0.01779,2783,-1,14,100,170,41,55,75,5,193,12,69
0,-3962,-0.0092,0.02977,0.01943,-2385,0,530,315,166,165,81,141,156,15,15,100
0,-25699,0.0304,0.0294,-0.01549,-4562,0,41,20,177,17,24,62,67,213,3,42
0,-25699,0.0304,0.04262,-0.0082,-3559,2,41,20,177,17,24,62,67,213,3,42
1,42459,-0.043,-0.02269,0.00672,-319,0,214,54,321,119,21,59,850,326,527,501
0,25699,-0.0304,-0.05805,0.00898,-2954,1,62,67,213,3,42,41,20,177,17,24
0,-42459,0.043,0.07717,-0.01562,-4013,-1,59,850,326,527,501,214,54,321,21,119
1,9186,-0.0028,-0.03954,-0.01823,2412,-1,58,178,11,5001,367,75,5,193,12,69
1,-7223,0.0056,0.00704,-0.02093,-117,2,2,4,390,589,9,38,190,4,244,94
0,9186,-0.0028,-0.0139,-0.0108,3103,-1,58,178,11,5001,367,75,5,193,12,69
1,-7223,0.0056,0.01739,-0.02039,-382,0,390,4,9,589,2,38,190,4,244,94
1,9186,-0.0028,0.0776,0.01478,3718,-2,58,178,11,5001,367,75,5,193,12,69
1,7223,-0.0056,-0.02199,-0.0014,4863,0,38,190,4,244,94,9,4,390,589,2
